experiment,n_matrix,n_mesh,cycles
lu_const,128,2,2168467
lu_const,256,4,4903172
lu_const,512,8,10485993
lu_const,1024,16,22300562
lu_const,2048,32,51522035
lu_const,4096,64,128889352
lu_increasing,128,64,109830
lu_increasing,256,64,399112
lu_increasing,512,64,1552825
lu_increasing,1024,64,7157115
lu_increasing,2048,64,30631180
lu_increasing,4096,64,128889352
qr_const,128,2,5264419
qr_const,256,4,12029885
qr_const,512,8,25707092
qr_const,1024,16,53700063
qr_const,2048,32,115334277
qr_const,4096,64,257650635
qr_increasing,128,64,275422
qr_increasing,256,64,969781
qr_increasing,512,64,3614613
qr_increasing,1024,64,14265533
qr_increasing,2048,64,58734690
qr_increasing,4096,64,257650635
cannon_const,128,4,612019
cannon_const,256,8,1225026
cannon_const,512,16,2743144
cannon_const,1024,32,7561007
cannon_const,2048,64,23514173
cannon_increasing,128,64,86412
cannon_increasing,256,64,311381
cannon_increasing,512,64,1245054
cannon_increasing,1024,64,5372046
cannon_increasing,2048,64,23514173
